date,cumulative_return,sharpe_ratio,max_drawdown
2025-01-01,-0.013566580834543193,-1.5908913683986807,-0.0
2025-01-02,-0.025194068748706396,-1.5908913683986807,-0.0
2025-01-03,-0.0350913706174133,-1.5908913683986807,-0.0
2025-01-04,-0.03419990234809414,-1.5908913683986807,-0.0
2025-01-05,-0.02237542417071188,-1.5908913683986807,-0.0
2025-01-06,-0.042960034382072854,-1.5908913683986807,-0.0
2025-01-07,-0.05040265619832948,-1.5908913683986807,-0.0
2025-01-08,-0.04930810143116083,-1.5908913683986807,-0.0
2025-01-09,-0.03833799700053294,-1.5908913683986807,-0.0
2025-01-10,-0.03146848052783044,-1.5908913683986807,-0.0
2025-01-11,-0.02361320539262849,-1.5908913683986807,-0.0
2025-01-12,-0.019967975977448017,-1.5908913683986807,-0.0
2025-01-13,-0.04143861485480316,-1.5908913683986807,-0.0
2025-01-14,-0.04808349710210892,-1.5908913683986807,-0.0
2025-01-15,-0.050893806913319184,-1.5908913683986807,-0.0
2025-01-16,-0.0485027602760273,-1.5908913683986807,-0.0
2025-01-17,-0.052614228399037365,-1.5908913683986807,-0.0
2025-01-18,-0.04686269913091133,-1.5908913683986807,-0.0
2025-01-19,-0.03999016364287576,-1.5908913683986807,-0.0
2025-01-20,-0.047095407535628776,-1.5908913683986807,-0.0
2025-01-21,-0.06103590131576369,-1.5908913683986807,-0.0
2025-01-22,-0.06667485478700008,-1.5908913683986807,-0.0
2025-01-23,-0.06626135835313512,-1.5908913683986807,-0.0
2025-01-24,-0.05847182394595312,-1.5908913683986807,-0.0
2025-01-25,-0.07875635317406798,-1.5908913683986807,-0.0
2025-01-26,-0.0710141296755423,-1.5908913683986807,-0.0
2025-01-27,-0.0565416538876026,-1.5908913683986807,-0.0
2025-01-28,-0.05894938055848706,-1.5908913683986807,-0.0
2025-01-29,-0.049450843519898695,-1.5908913683986807,-0.0
2025-01-30,-0.07119331055762906,-1.5908913683986807,-0.0
2025-01-31,-0.07290520547842544,-1.5908913683986807,-0.0
